"Accident_Index","Speed_limit","year","Location_Easting_OSGR","Location_Northing_OSGR","Longitude","Latitude"
"0039719",20,2019,323533,672626,-3.22576188850387,55.940576088634
"0060619",20,2019,330490,671759,-3.1141861979614,55.9338454703634
"0060819",30,2019,329106,673250,-3.13672662536537,55.9470367765144
"0061519",40,2019,318126,675081,-3.3130459817561,55.9617363280465
"0061419",20,2019,324766,673406,-3.20624517206064,55.9477774394643
"0059519",40,2019,317949,672262,-3.31502160664562,55.9363847578983
"0079419",20,2019,320673,676033,-3.27253999205933,55.9707155577171
"0059719",20,2019,325435,672581,-3.19530723324863,55.9404710239074
"0061219",30,2019,320050,670808,-3.28096798199087,55.9236785259377
"0059019",20,2019,324385,674666,-3.21269818715913,55.9590358113671
"0058119",40,2019,317447,672542,-3.32314081014709,55.9388137934698
"0059619",20,2019,326906,672672,-3.17178788355786,55.9415146766373
"0060919",40,2019,312469,672703,-3.40285820179743,55.9393783969699
"0058019",30,2019,329017,673692,-3.13826788090793,55.950994097925
"0058419",40,2019,319230,674920,-3.29531876326927,55.9604772784174
"0058519",30,2019,331758,671815,-3.09390836193805,55.9345304122512
