"nearest_line_id","ID","Accident_Index","Location_Easting_OSGR","Location_Northing_OSGR","Longitude.before","Latitude.before","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_.District.","Local_Authority_.Highway.","X1st_Road_Class","X1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","X2nd_Road_Class","X2nd_Road_Number","Pedestrian_Crossing.Human_Control","Pedestrian_Crossing.Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location","year","Longitude","Latitude","snap_dist","X","Y","optional","FEATID","LAYER","Shape_Length"
"1164",601,"2014950001107",322780,676090,-3.238824,55.971617,95,3,1,1,"2014-02-24",2,14:45:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,NA,"2014",-3.23880739802457,55.9715714421416,1.93403855044263,-3.23878411803621,55.9715827239071,TRUE,1164,"20mph existing streets",289.532430746167
"1179",3213,"2018950001133",322287,674915,-3.246365,55.960932,95,3,2,1,"2018-08-21",3,07:40:00,923,"S12000036",3,902,6,30,8,4,6,0,0,5,1,1,1,0,0,1,1,NA,"2018",-3.24636480555295,55.9609372549623,2.0140664266318,-3.24639683252539,55.9609369310012,TRUE,1179,"20mph existing streets",137.92172039575
"1201",2662,"2016950001900",322410,675650,-3.243189,55.96762,95,3,2,1,"2016-04-16",7,18:45:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,NA,"2016",-3.24460709547459,55.9675593795344,0.976961699253663,-3.24459195350696,55.9675574182277,TRUE,1201,"20mph existing streets",165.582554992233
"1201",2486,"2016950000732",322380,675640,-3.243667,55.967525,95,3,2,1,"2016-01-29",6,16:30:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,7,4,1,0,0,1,1,NA,"2016",-3.24508469704068,55.9674646996945,3.23051679462405,-3.24507481013025,55.9674364175953,TRUE,1201,"20mph existing streets",165.582554992233
"121",121,"2013950004511",326180,671660,-3.183147,55.932358,95,3,2,1,"2013-09-02",2,20:30:00,923,"S12000036",6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,NA,"2013",-3.1831309474671,55.932312945028,1.60731243731987,-3.18311833289599,55.9323004750651,TRUE,121,"20mph existing streets",1801.67166344887
"1210",744,"2014950002053",311790,677820,-3.415422,55.985261,95,3,3,1,"2014-04-15",3,16:40:00,923,"S12000036",3,904,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,NA,"2014",-3.41540159969931,55.9852150127045,2.49230553987528,-3.41536326952547,55.985209313256,TRUE,1210,"20mph existing streets",62.0598095228145
"122",3314,"2018950001433",326960,675230,-3.171619,55.964496,95,3,2,1,"2018-10-22",2,09:15:00,923,"S12000036",6,0,6,20,6,4,6,0,0,0,1,1,1,0,0,1,2,NA,"2018",-3.17161752515899,55.9645010687343,1.11581190312582,-3.17161388545726,55.9645108125503,TRUE,122,"20mph existing streets",546.831186286605
"122",1388,"2014950006038",327020,675220,-3.170669,55.964466,95,3,2,1,"2014-11-25",3,17:25:00,923,"S12000036",5,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,NA,"2014",-3.17065388813252,55.9644203729352,1.65542164743938,-3.17064999953674,55.9644349808486,TRUE,122,"20mph existing streets",546.831186286605
"1230",116,"2013950004492",319690,674000,-3.287696,55.952336,95,3,1,1,"2013-09-01",1,23:45:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,4,4,1,0,0,1,1,NA,"2013",-3.28767831984457,55.9522906219701,3.86829962445021,-3.28763983182604,55.9523175390963,TRUE,1230,"20mph existing streets",584.567040384368
"1232",1894,"2015950002955",320140,669460,-3.279129,55.911585,95,3,2,1,"2015-06-19",6,15:45:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,5,1,1,0,0,1,1,NA,"2015",-3.27912927447055,55.9115850081569,0.326503574938836,-3.27912951042108,55.9115879178432,TRUE,1232,"20mph existing streets",131.360021784246
